time,latitude,longitude,elevation
,38.66176,-78.58573,482.890015
,38.66178,-78.58575,483.234222
,38.66181,-78.58578,483.79837
,38.66183,-78.58579,484.681427
,38.66185,-78.58582,485.678741
,38.66187,-78.58582,486.478973
,38.66194,-78.58583,489.312134
,38.66196,-78.58582,490.071655
,38.66198,-78.58584,490.925568
,38.66199,-78.58586,491.36731
,38.662,-78.58589,491.823273
,38.66201,-78.58592,492.260651
,38.66202,-78.58594,492.666138
,38.66204,-78.58596,493.426575
,38.6621,-78.58605,494.907715
,38.66218,-78.5861,497.82309
,38.66226,-78.58616,500.381134
,38.66228,-78.58618,500.900513
,38.6623,-78.58618,501.730164
,38.66232,-78.58619,502.386017
,38.66235,-78.5862,503.444305
,38.66238,-78.58622,504.341156
,38.66246,-78.58629,506.594055
,38.66252,-78.58631,508.754974
,38.66254,-78.58631,509.585754
,38.66255,-78.58633,509.614624
,38.66264,-78.58632,513.52478
,38.6627,-78.58635,514.979187
,38.66278,-78.58639,517.058289
,38.66287,-78.58636,520.770142
,38.66289,-78.58638,521.175293
,38.66292,-78.58638,522.236511
,38.66294,-78.58636,523.153442
,38.66304,-78.58635,526.431152
,38.66308,-78.58635,527.688843
,38.66312,-78.58634,529.034973
,38.66314,-78.58633,529.741943
,38.66321,-78.58636,531.566895
,38.66324,-78.58636,532.25592
,38.66326,-78.58637,532.65387
,38.66329,-78.58638,533.289246
,38.66331,-78.58639,533.698303
,38.66333,-78.58639,534.165405
,38.66336,-78.5864,534.817627
,38.66337,-78.58641,535.003296
,38.66341,-78.58642,535.907471
,38.66349,-78.58646,537.660583
,38.66353,-78.58647,538.576904
,38.66356,-78.58649,539.261597
,38.66357,-78.58648,539.513916
,38.6636,-78.58647,540.235779
,38.66361,-78.58647,540.474182
,38.66365,-78.58646,541.411743
,38.66367,-78.58645,541.866028
,38.66368,-78.58643,542.061646
,38.66372,-78.58642,542.939697
,38.66374,-78.58642,543.388611
,38.66379,-78.58642,544.452148
,38.66381,-78.58642,544.873047
,38.66383,-78.5864,545.157776
,38.66386,-78.58641,545.843445
,38.66388,-78.5864,546.170166
,38.66391,-78.58641,546.875244
,38.66393,-78.58643,547.49884
,38.66394,-78.58645,547.933289
,38.66403,-78.58646,550.085266
,38.66405,-78.58645,550.474121
,38.66408,-78.58646,551.436279
,38.6641,-78.58646,551.978027
,38.66412,-78.58647,552.684998
,38.66414,-78.58647,553.231934
,38.66416,-78.58646,553.598755
,38.66419,-78.58647,554.595825
,38.66422,-78.58647,555.4151
,38.66425,-78.58649,556.638184
,38.66426,-78.58652,557.530762
,38.66426,-78.58655,557.970154
,38.66432,-78.58657,560.022827
,38.66433,-78.5866,560.744629
,38.66435,-78.58662,561.607605
,38.66437,-78.58662,562.18457
,38.66439,-78.58664,563.046326
,38.6644,-78.58667,563.768127
,38.66443,-78.58669,564.920776
,38.66445,-78.5867,565.638977
